sample,date
SRR28752506,2024-03-29
SRR28752505,2024-03-29
SRR28752504,2024-03-29
SRR28752503,2024-03-29
SRR28752502,2024-03-29
SRR28752647,2024-03-20
SRR28752635,2024-03-20
SRR28752624,2024-03-20
SRR28752538,2024-03-20
SRR28752526,2024-03-20
SRR28752525,2024-03-20
SRR28752509,2024-03-20
SRR28752498,2024-03-20
SRR28752487,2024-03-20
SRR28752472,2024-03-24
SRR28752469,2024-03-24
SRR28752467,2024-03-24
SRR28752466,2024-03-24
SRR28752465,2024-03-24
SRR28752573,2024-03-21
SRR28752572,2024-03-21
SRR28752571,2024-03-21
SRR28752557,2024-03-25
SRR28752556,2024-03-25
SRR28752555,2024-03-17
SRR28752517,2024-03-14
SRR28752516,2024-03-14
SRR28752515,2024-03-14
SRR28752514,2024-03-14
SRR28752615,2024-03-20
SRR28752614,2024-03-20
SRR28752613,2024-03-20
SRR28752612,2024-03-20
SRR28752611,2024-03-20
SRR28752610,2024-03-20
SRR28752679,2024-03-25
SRR28752678,2024-03-25
SRR28752677,2024-03-19
SRR28752669,2024-03-21
SRR28752668,2024-03-21
SRR28752667,2024-03-21
SRR28752643,2024-04-03
SRR28752642,2024-04-03
SRR28752645,2024-03-15
SRR28752644,2024-03-15
SRR28834852,2024-03-15
SRR28834851,2024-04-04
SRR28752633,2024-04-01
SRR28752631,2024-04-01
SRR28752637,2024-04-04
SRR28752543,2024-04-05
SRR28752542,2024-04-05
SRR28752541,2024-04-05
SRR28752540,2024-04-05
SRR28752539,2024-04-05
SRR28752618,2024-04-05
SRR28752552,2024-04-05
SRR28752550,2024-04-05
SRR28752548,2024-04-05
SRR28752545,2024-04-05
SRR28752544,2024-04-05
SRR28752632,2024-04-01
SRR28752630,2024-04-01
SRR28752627,2024-04-01
SRR28752626,2024-04-01
SRR28752625,2024-04-01
SRR28752623,2024-04-01
SRR28752597,2024-03-14
SRR28912857,2024-03-27
SRR28912846,2024-03-15
SRR28912856,2024-04-01
SRR28912844,2024-04-03
SRR28912841,2024-04-04
SRR28912822,2024-04-15
SRR28981037,2024-04-10
SRR28912810,2024-04-23
SRR28981008,2024-04-23
SRR28981001,2024-04-24
SRR29040284,2024-05-01
SRR29281448,2024-05-20
SRR28912816,2024-04-23
SRR28912815,2024-04-23
SRR28912814,2024-04-23
SRR28912813,2024-04-23
SRR28912811,2024-04-23
SRR28981007,2024-04-24
SRR28981006,2024-04-24
SRR28981004,2024-04-24
SRR28981003,2024-04-24
SRR28981002,2024-04-24
SRR29281455,2024-05-20
SRR29281454,2024-05-20
SRR29281453,2024-05-20
SRR29281452,2024-05-20
SRR29281451,2024-05-20
SRR29281450,2024-05-20
SRR28981038,2024-04-15
SRR28912778,2024-04-15
SRR28981027,2024-04-15
SRR28981016,2024-04-15
SRR28912777,2024-04-15
SRR28981005,2024-04-15
SRR28980994,2024-04-15
SRR28980987,2024-04-15
SRR28912826,2024-04-15
SRR28912825,2024-04-15
SRR28980986,2024-04-15
SRR28980985,2024-04-15
SRR28912824,2024-04-15
SRR28981023,2024-04-23
SRR29040298,2024-04-23
SRR28981022,2024-04-23
SRR28981021,2024-04-23
SRR28981020,2024-04-23
SRR28981019,2024-04-23
SRR28981018,2024-04-23
SRR28981017,2024-04-23
SRR28981015,2024-04-23
SRR28981014,2024-04-23
SRR28981013,2024-04-23
SRR28981012,2024-04-23
SRR28981011,2024-04-23
SRR28981010,2024-04-23
SRR28981009,2024-04-23
SRR29040287,2024-05-01
SRR29040285,2024-05-01
SRR28912835,2024-04-01
SRR28912806,2024-04-01
SRR28912795,2024-04-01
SRR28912784,2024-04-01
SRR28912823,2024-04-01
SRR28912812,2024-04-01
SRR28912809,2024-04-01
SRR28912843,2024-04-03
SRR28912842,2024-04-03
SRR28912855,2024-03-30
SRR28912854,2024-04-03
SRR28912853,2024-03-30
SRR28912852,2024-04-03
SRR28912851,2024-03-30
SRR28912850,2024-03-30
SRR28912849,2024-03-30
SRR28912848,2024-03-30
SRR28912847,2024-04-03
SRR28912845,2024-03-30
SRR28912840,2024-04-05
SRR29377840,2024-06-03
SRR29377838,2024-06-03
SRR29377837,2024-06-03
SRR29377836,2024-06-03
SRR29377835,2024-06-03
SRR29377834,2024-06-03
SRR29377833,2024-06-03
SRR29281431,2024-05-12
SRR29281430,2024-05-12
SRR29281429,2024-05-12
SRR29281428,2024-05-12
SRR29281427,2024-05-12
SRR29281470,2024-05-12
SRR29281469,2024-05-12
SRR29281468,2024-05-12
SRR29377828,2024-05-19
SRR29377915,2024-05-19
SRR29377914,2024-05-19
SRR29377913,2024-05-19
SRR29377912,2024-05-20
SRR29377911,2024-05-20
SRR29377910,2024-05-20
SRR29377909,2024-05-20
SRR29377908,2024-05-20
SRR29377907,2024-05-20
SRR29377906,2024-05-20
SRR29377904,2024-05-20
SRR29377903,2024-05-20
SRR29377902,2024-05-20
SRR29377901,2024-05-20
SRR29377871,2024-05-24
SRR29377870,2024-05-24
SRR29377869,2024-05-24
SRR29377868,2024-05-24
SRR29377867,2024-05-27
SRR29377866,2024-05-27
SRR29377865,2024-05-27
SRR29455628,2024-05-28
SRR29455627,2024-05-28
SRR29455626,2024-05-28
SRR29455625,2024-05-28
SRR29455584,2024-05-30
SRR29455583,2024-05-30
SRR29377832,2024-06-03
SRR29377831,2024-06-03
SRR29377830,2024-06-03
SRR29377829,2024-06-03
SRR29377827,2024-06-03
SRR29377826,2024-06-03
SRR29377825,2024-06-03
SRR29377824,2024-06-03
SRR29377823,2024-06-03
SRR29455594,2024-06-03
SRR29377822,2024-06-03
SRR29377821,2024-06-03
SRR29377820,2024-06-03
SRR29455588,2024-06-04
SRR29455587,2024-06-04
SRR29455586,2024-06-04
SRR29455585,2024-06-04
SRR29455582,2024-06-03
SRR29455581,2024-06-03
SRR29455579,2024-06-03
SRR29455578,2024-06-03
SRR29455577,2024-06-03
SRR29455576,2024-06-04
SRR29455575,2024-06-04
SRR28980989,2024-04-20
SRR28980988,2024-04-20
SRR29455635,2024-05-24
SRR29455624,2024-05-24
SRR29455613,2024-05-24
SRR29455602,2024-05-24
SRR29455591,2024-05-24
SRR29455580,2024-05-24
SRR29455574,2024-05-24
SRR29455573,2024-05-24
SRR29455645,2024-05-24
SRR29455644,2024-05-24
SRR29455643,2024-05-24
SRR29455642,2024-05-24
SRR29455641,2024-05-24
SRR29455640,2024-04-30
SRR29455639,2024-04-30
SRR29455638,2024-04-30
SRR29455637,2024-04-30
SRR29455636,2024-04-30
SRR29455634,2024-04-30
SRR29455633,2024-04-30
SRR29455631,2024-04-30
SRR29455630,2024-04-30
SRR29455629,2024-04-30
SRR29455595,2024-05-28
SRR29455592,2024-05-28
SRR29455590,2024-05-28
SRR29455589,2024-05-28
SRR29455623,2024-04-29
SRR29455622,2024-04-29
SRR29455621,2024-04-29
SRR29455620,2024-04-29
SRR29455619,2024-04-29
SRR29455618,2024-04-29
SRR29455617,2024-04-29
SRR29455616,2024-04-29
SRR29455615,2024-04-29
SRR29455614,2024-04-29
SRR29455612,2024-04-29
SRR29455611,2024-04-29
SRR29455610,2024-04-29
SRR29455609,2024-04-29
SRR29455608,2024-04-29
SRR29455607,2024-04-29
SRR29455606,2024-04-29
SRR29455605,2024-04-29
SRR29455604,2024-04-29
SRR29455603,2024-04-29
SRR29455601,2024-04-29
SRR29455600,2024-04-29
SRR29455599,2024-04-29
SRR29455598,2024-04-29
SRR29455597,2024-04-29
SRR29455596,2024-04-29
SRR29377860,2024-04-29
SRR29377859,2024-04-29
SRR29377858,2024-04-29
SRR29377857,2024-04-29
SRR29377856,2024-04-29
SRR29377855,2024-04-29
SRR29377854,2024-04-29
SRR29377853,2024-04-29
SRR29377852,2024-04-29
SRR29377851,2024-04-29
SRR29377849,2024-04-29
SRR29377848,2024-04-29
SRR29377847,2024-04-29
SRR29377846,2024-04-29
SRR29377845,2024-04-29
SRR29377844,2024-04-29
SRR29377843,2024-04-29
SRR29377842,2024-04-29
SRR29377841,2024-04-29
SRR29543307,2024-06-06
SRR29543309,2024-06-06
SRR29543361,2024-05-30
SRR29543360,2024-05-30
SRR29543359,2024-05-30
SRR29543357,2024-05-30
SRR29543356,2024-05-30
SRR29543355,2024-05-30
SRR29543354,2024-05-30
SRR29543353,2024-05-30
SRR29543352,2024-05-30
SRR29543351,2024-05-30
SRR29543350,2024-05-30
SRR29543349,2024-05-30
SRR29543348,2024-05-30
SRR29543346,2024-05-30
SRR29543345,2024-05-30
SRR29543344,2024-05-30
SRR29543343,2024-05-30
SRR29543342,2024-05-30
SRR29543341,2024-05-30
SRR29543340,2024-05-30
SRR29543310,2024-06-03
SRR29543300,2024-06-06
SRR29543299,2024-06-06
SRR29543298,2024-06-06
SRR29281435,2024-05-21
SRR29281434,2024-05-21
SRR29281433,2024-05-21
SRR29281432,2024-05-21
SRR29377877,2024-05-22
SRR29377876,2024-05-22
SRR29377875,2024-05-22
SRR29377874,2024-05-22
SRR29377873,2024-05-22
SRR29543378,2024-04-08
SRR29543306,2024-06-04
SRR29543305,2024-06-04
SRR29694526,2024-06-11
SRR29694483,2024-06-15
SRR29694482,2024-06-15
SRR29694481,2024-06-15
SRR29694480,2024-06-15
SRR29694479,2024-06-15
SRR29694478,2024-06-15
SRR29694477,2024-06-15
SRR29694476,2024-06-15
SRR29694559,2024-06-15
SRR29694558,2024-06-15
SRR29694525,2024-06-15
SRR29694524,2024-06-15
SRR29694523,2024-06-15
SRR29694557,2024-06-15
SRR29694556,2024-06-15
SRR29694565,2024-06-06
SRR29694564,2024-06-06
SRR29694563,2024-06-06
SRR29694561,2024-06-11
SRR29694560,2024-06-11
SRR29694538,2024-06-11
SRR29694531,2024-06-10
SRR29543374,2024-06-04
SRR29543373,2024-06-04
SRR29543372,2024-06-04
SRR29543371,2024-06-04
SRR29543370,2024-06-04
SRR29543368,2024-06-04
SRR29543367,2024-06-04
SRR29543366,2024-06-04
SRR29543365,2024-06-04
SRR29543364,2024-06-04
SRR29543363,2024-06-04
SRR29543362,2024-06-04
SRR29543339,2024-06-04
SRR29543338,2024-06-04
SRR29543337,2024-06-04
SRR29543335,2024-06-04
SRR29543334,2024-06-04
SRR29543333,2024-06-04
SRR29543332,2024-06-04
SRR29543331,2024-06-04
SRR29543330,2024-06-04
SRR29543329,2024-06-04
SRR29543328,2024-06-04
SRR29543327,2024-06-04
SRR29543326,2024-06-04
SRR29543324,2024-06-04
SRR29543323,2024-06-04
SRR29543322,2024-06-04
SRR29543321,2024-06-04
SRR29543320,2024-06-04
SRR29543319,2024-06-04
SRR29543318,2024-06-04
SRR29543317,2024-06-04
SRR29543316,2024-06-04
SRR29543315,2024-06-04
SRR29543313,2024-06-04
SRR29543312,2024-06-04
SRR29543311,2024-06-04
SRR29694486,2024-06-11
SRR29694475,2024-06-11
SRR29694549,2024-06-11
SRR29543389,2024-06-11
SRR29543388,2024-06-11
SRR29543387,2024-06-11
SRR29740727,2024-06-19
SRR28912788,2024-04-12
SRR28912787,2024-04-12
SRR28912786,2024-04-12
SRR28912785,2024-04-12
SRR28912783,2024-04-12
SRR29953277,2024-06-03
SRR28912831,2024-04-08
SRR28912830,2024-04-08
SRR28912829,2024-04-08
SRR28912828,2024-04-08
SRR28912827,2024-04-08
SRR28912808,2024-04-08
SRR28912807,2024-04-08
SRR28912805,2024-04-08
SRR28912804,2024-04-08
SRR28912803,2024-04-08
SRR29182382,2024-04-24
SRR29694499,2024-05-22
SRR29694498,2024-05-24
SRR29953220,2024-07-04
SRR29953219,2024-07-04
SRR29953218,2024-07-04
SRR29953217,2024-07-04
SRR29953216,2024-07-04
SRR30090408,2024-05-24
SRR29281459,2024-05-15
SRR29281458,2024-05-15
SRR29281457,2024-05-15
SRR29281456,2024-05-15
SRR29543377,2024-04-04
SRR29543376,2024-04-04
SRR28981026,2024-04-24
SRR28981025,2024-04-24
SRR28981024,2024-04-24
SRR29182381,2024-05-03
SRR29182380,2024-05-03
SRR30235354,2024-07-29
SRR29543358,2024-06-11
SRR29543347,2024-06-11
SRR29543336,2024-06-11
SRR29543325,2024-06-11
SRR29543314,2024-06-11
SRR29543303,2024-06-11
SRR29543392,2024-06-11
SRR29694591,2024-06-11
SRR29694590,2024-06-11
SRR29694562,2024-06-11
SRR29694530,2024-06-11
SRR29694519,2024-06-11
SRR29694508,2024-06-11
SRR29694497,2024-06-11
SRR29543386,2024-06-10
SRR29694589,2024-06-10
SRR29543385,2024-06-10
SRR29543384,2024-06-10
SRR29694578,2024-06-10
SRR29694570,2024-06-10
SRR29694585,2024-06-13
SRR29694584,2024-06-13
SRR29694507,2024-06-13
SRR29694506,2024-06-13
SRR29694505,2024-06-14
SRR29694504,2024-06-14
SRR29694583,2024-06-14
SRR29694582,2024-06-14
SRR29694581,2024-06-14
SRR29694580,2024-06-14
SRR29694579,2024-06-14
SRR29694577,2024-06-14
SRR29694576,2024-06-14
SRR29694491,2024-06-17
SRR29694490,2024-06-17
SRR29694489,2024-06-18
SRR29694488,2024-06-18
SRR29694487,2024-06-18
SRR29740753,2024-06-18
SRR29740752,2024-06-18
SRR29740741,2024-06-18
SRR29740730,2024-06-18
SRR29740719,2024-06-18
SRR29740696,2024-06-18
SRR29740685,2024-06-18
SRR29740674,2024-06-18
SRR29740707,2024-06-18
SRR29740706,2024-06-18
SRR29740751,2024-06-18
SRR29694485,2024-06-17
SRR29740749,2024-06-17
SRR29740748,2024-06-17
SRR29694484,2024-06-17
SRR29694572,2024-06-17
SRR29694571,2024-06-17
SRR29740747,2024-06-17
SRR29740746,2024-06-17
SRR29740745,2024-06-18
SRR29740744,2024-06-18
SRR29740743,2024-06-18
SRR29740742,2024-06-18
SRR29740740,2024-06-18
SRR29740739,2024-06-18
SRR29740738,2024-06-18
SRR29740726,2024-06-20
SRR29740725,2024-06-20
SRR29740724,2024-06-20
SRR29740723,2024-06-20
SRR29740722,2024-06-20
SRR29740721,2024-06-20
SRR29740720,2024-06-20
SRR29740718,2024-06-20
SRR29740705,2024-06-20
SRR29740704,2024-06-19
SRR29740703,2024-06-19
SRR29740702,2024-06-19
SRR29740701,2024-06-19
SRR29740699,2024-06-19
SRR29740698,2024-06-19
SRR29740697,2024-06-19
SRR29740695,2024-06-19
SRR29740689,2024-06-24
SRR29740681,2024-06-24
SRR29740680,2024-06-24
SRR29740679,2024-06-24
SRR29740678,2024-06-24
SRR29740677,2024-06-24
SRR29740676,2024-06-24
SRR29740675,2024-06-24
SRR29740716,2024-06-21
SRR29851702,2024-06-26
SRR29851701,2024-06-26
SRR29851690,2024-06-26
SRR29851685,2024-06-26
SRR29851684,2024-06-26
SRR29740715,2024-06-25
SRR29740714,2024-06-25
SRR29851693,2024-07-02
SRR29953265,2024-07-02
SRR29953254,2024-07-02
SRR29953243,2024-07-02
SRR29953232,2024-07-02
SRR29953221,2024-07-02
SRR29953210,2024-07-02
SRR29953199,2024-07-02
SRR29851692,2024-07-02
SRR29851691,2024-07-02
SRR29953194,2024-07-02
SRR29953263,2024-07-03
SRR29953260,2024-07-05
SRR29953259,2024-07-05
SRR29953258,2024-07-05
SRR29953257,2024-07-05
SRR29953256,2024-07-05
SRR29953255,2024-07-05
SRR29953253,2024-07-05
SRR29953252,2024-07-05
SRR29953251,2024-07-05
SRR29953250,2024-07-05
SRR29953249,2024-07-05
SRR29953248,2024-07-05
SRR29953247,2024-07-05
SRR29953246,2024-07-05
SRR29953245,2024-07-05
SRR29953244,2024-07-05
SRR29953242,2024-07-05
SRR29953241,2024-07-05
SRR29953240,2024-07-05
SRR29953239,2024-07-05
SRR29953209,2024-07-09
SRR29953208,2024-07-09
SRR29953207,2024-07-09
SRR29953206,2024-07-09
SRR29953205,2024-07-09
SRR29953197,2024-07-12
SRR30090351,2024-07-12
SRR30090350,2024-07-12
SRR30090349,2024-07-12
SRR30090407,2024-07-12
SRR30090406,2024-07-12
SRR29953196,2024-07-12
SRR29953195,2024-07-12
SRR30090405,2024-07-12
SRR30090385,2024-07-16
SRR30090384,2024-07-16
SRR30090383,2024-07-16
SRR30090382,2024-07-16
SRR30090381,2024-07-16
SRR30090380,2024-07-16
SRR30090379,2024-07-16
SRR30090378,2024-07-16
SRR30202048,2024-07-17
SRR30090366,2024-07-17
SRR30202051,2024-07-17
SRR30202050,2024-07-17
SRR30202039,2024-07-17
SRR30090365,2024-07-17
SRR30202028,2024-07-17
SRR30202026,2024-07-17
SRR30090363,2024-07-17
SRR30202025,2024-07-17
SRR30202024,2024-07-17
SRR30202023,2024-07-17
SRR30202022,2024-07-17
SRR30202021,2024-07-17
SRR30202049,2024-07-17
SRR30090361,2024-07-19
SRR30090360,2024-07-19
SRR30090359,2024-07-19
SRR30090358,2024-07-19
SRR30090357,2024-07-19
SRR30090356,2024-07-19
SRR30090355,2024-07-19
SRR30090354,2024-07-19
SRR30090352,2024-07-19
SRR30202031,2024-07-17
SRR30202030,2024-07-17
SRR30202029,2024-07-17
SRR30202027,2024-07-17
SRR30235375,2024-07-25
SRR30235370,2024-07-25
SRR30235366,2024-07-25
SRR30235358,2024-07-28
SRR30235359,2024-07-28
SRR30235368,2024-07-29
SRR30235367,2024-07-29
SRR30235373,2024-07-29
SRR30235357,2024-07-29
SRR30428219,2024-08-01
SRR30428218,2024-08-01
SRR30404401,2024-08-01
SRR30404409,2024-08-01
SRR30404408,2024-08-01
SRR30404407,2024-08-01
SRR29694537,2024-06-12
SRR29694536,2024-06-12
SRR29694535,2024-06-12
SRR29694534,2024-06-12
SRR29694533,2024-06-12
SRR29694532,2024-06-12
SRR29694529,2024-06-12
SRR29694528,2024-06-12
SRR29694527,2024-06-13
SRR29694494,2024-06-14
SRR29740733,2024-06-19
SRR29740731,2024-06-20
SRR29740729,2024-06-20
SRR29740728,2024-06-19
SRR29740683,2024-06-25
SRR29740713,2024-06-25
SRR29740712,2024-06-25
SRR29740711,2024-06-27
SRR29740710,2024-06-27
SRR29740709,2024-06-27
SRR29740708,2024-06-24
SRR29953274,2024-07-02
SRR29953273,2024-07-02
SRR29953272,2024-07-02
SRR30428220,2024-05-24
SRR29543304,2024-06-05
SRR29543302,2024-06-05
SRR29543301,2024-06-05
SRR29953237,2024-07-02
SRR29953236,2024-07-02
SRR29953235,2024-07-02
SRR29281464,2024-05-16
SRR29281463,2024-05-16
SRR29281462,2024-05-16
SRR29281461,2024-05-16
SRR29953275,2024-07-03
SRR29694555,2024-06-14
SRR29694554,2024-06-14
SRR29694553,2024-06-14
SRR29694552,2024-06-14
SRR29694551,2024-06-14
SRR29694550,2024-06-14
SRR29694548,2024-06-14
SRR29694547,2024-06-14
SRR29694546,2024-06-14
SRR29694545,2024-06-14
SRR29694544,2024-06-14
SRR29694543,2024-06-14
SRR29694542,2024-06-14
SRR29694541,2024-06-14
SRR29694540,2024-06-14
SRR29694520,2024-06-14
SRR29694518,2024-06-14
SRR29694517,2024-06-14
SRR29694516,2024-06-14
SRR29851683,2024-06-26
SRR29851682,2024-06-26
SRR29851681,2024-06-26
SRR29851680,2024-06-25
SRR29851679,2024-06-25
SRR29953262,2024-07-02
SRR29953261,2024-07-02
SRR30090372,2024-07-16
SRR30090371,2024-07-16
SRR30090370,2024-07-16
SRR30090369,2024-07-16
SRR29953214,2024-07-09
SRR30090375,2024-07-09
SRR29953213,2024-07-09
SRR29953212,2024-07-09
SRR29953211,2024-07-09
SRR30090376,2024-07-15
SRR30090374,2024-07-15
SRR30090373,2024-07-15
SRR30202036,2024-07-17
SRR30202035,2024-07-17
SRR30235371,2024-07-29
SRR30235369,2024-07-29
SRR30490910,2024-08-05
SRR30490909,2024-08-04
SRR30490908,2024-08-05
SRR30490907,2024-08-05
SRR30490903,2024-08-05
SRR30490902,2024-08-05
SRR29543369,2024-06-10
SRR29377891,2024-05-21
SRR29377890,2024-05-21
SRR29377889,2024-05-21
SRR29377888,2024-05-21
SRR29377887,2024-05-21
SRR29377886,2024-05-21
SRR29377885,2024-05-21
SRR30235382,2024-07-29
SRR30235381,2024-07-29
SRR30235380,2024-07-29
SRR30235379,2024-07-29
SRR30235378,2024-07-29
SRR30235377,2024-07-29
SRR30235376,2024-07-29
SRR30235374,2024-07-29
SRR30235352,2024-07-29
SRR30235353,2024-07-29
SRR30235372,2024-07-29
SRR30235355,2024-07-28
SRR30490906,2024-08-04
SRR30490905,2024-08-05
SRR29694587,2024-06-13
SRR29694586,2024-06-13
SRR29740717,2024-06-25
SRR29953234,2024-07-08
SRR29953233,2024-07-08
SRR30404406,2024-08-01
SRR30404405,2024-08-01
SRR30633346,2024-08-21
SRR29851699,2024-06-26
SRR30811319,2024-09-04
SRR30811318,2024-09-04
SRR30811317,2024-09-04
SRR30090390,2024-07-15
SRR30090389,2024-07-15
SRR30090388,2024-07-15
SRR30235360,2024-07-28
SRR30811250,2024-08-26
SRR30811247,2024-08-26
SRR30811326,2024-08-25
SRR30811321,2024-09-02
SRR29040288,2024-04-30
SRR29543297,2024-06-04
SRR29543296,2024-06-10
SRR29543295,2024-06-10
SRR29543294,2024-06-10
SRR29543394,2024-06-10
SRR29543393,2024-06-10
SRR29543380,2024-06-10
SRR30090364,2024-07-11
SRR29953204,2024-07-11
SRR29953203,2024-07-11
SRR30090353,2024-07-11
SRR30490904,2024-08-05
SRR30811294,2024-08-12
SRR30811283,2024-08-12
SRR30633347,2024-08-19
SRR30811261,2024-08-25
SRR30811322,2024-09-01
SRR30811320,2024-09-01
SRR30811276,2024-09-09
SRR30811275,2024-09-09
SRR29377898,2024-05-22
SRR29377897,2024-05-22
SRR29377896,2024-05-22
SRR29377895,2024-05-22
SRR30572427,2024-08-26
SRR30572425,2024-08-26
SRR30811307,2024-09-02
SRR30811306,2024-09-02
SRR30811304,2024-09-02
SRR30811303,2024-09-02
SRR30811264,2024-09-10
SRR30932424,2024-08-20
SRR30932423,2024-09-10
SRR30932731,2024-09-23
SRR29851689,2024-04-20
SRR29851688,2024-04-20
SRR29851687,2024-07-03
SRR29851686,2024-07-03
SRR31016533,2024-09-17
SRR31016522,2024-09-17
SRR31062753,2024-09-23
SRR30932730,2024-09-23
SRR30932729,2024-09-23
SRR31016528,2024-09-30
SRR31168548,2024-09-30
SRR31168543,2024-10-07
SRR31168542,2024-10-07
SRR29740682,2024-06-25
SRR29953271,2024-07-02
SRR29953270,2024-07-02
SRR29953215,2024-07-09
SRR30090387,2024-07-16
SRR30932425,2024-08-13
SRR31016521,2024-09-26
SRR31016587,2024-09-26
SRR31016586,2024-09-26
SRR31168532,2024-10-16
SRR30572434,2024-08-19
SRR30572433,2024-08-19
SRR30811324,2024-08-14
SRR30811323,2024-08-14
SRR30572436,2024-04-22
SRR30572435,2024-04-22
SRR30572424,2024-04-22
SRR30572422,2024-04-22
SRR30572421,2024-04-22
SRR30572420,2024-04-22
SRR30572419,2024-04-22
SRR30572418,2024-04-22
SRR30572417,2024-04-22
SRR30572416,2024-04-22
SRR31168550,2024-04-22
SRR31168549,2024-04-22
SRR31168538,2024-04-22
SRR29694569,2024-05-27
SRR29694568,2024-05-27
SRR29694567,2024-05-27
SRR29694566,2024-05-27
SRR30235363,2024-07-23
SRR30235362,2024-07-23
SRR30235361,2024-07-23
SRR30235385,2024-07-23
SRR30235384,2024-07-23
SRR30235383,2024-07-23
SRR30235387,2024-07-15
SRR30235386,2024-07-25
SRR30932727,2024-05-22
SRR30811296,2024-05-22
SRR30811295,2024-05-22
SRR30811293,2024-05-22
SRR30932716,2024-05-22
SRR30811292,2024-05-22
SRR30811291,2024-05-22
SRR31062754,2024-05-22
SRR30811290,2024-05-21
SRR30811289,2024-05-21
SRR30811288,2024-05-21
SRR30811287,2024-05-21
SRR30811286,2024-05-21
SRR30811285,2024-05-21
SRR30811284,2024-05-21
SRR30811282,2024-05-21
SRR30811281,2024-05-21
SRR30811280,2024-05-21
SRR30811279,2024-05-21
SRR30811278,2024-05-21
SRR30811277,2024-05-21
SRR30932743,2024-09-18
SRR30811274,2024-09-09
SRR30811273,2024-09-09
SRR30811271,2024-09-09
SRR30811270,2024-09-09
SRR30932419,2024-09-16
SRR30932741,2024-09-18
SRR30932739,2024-09-18
SRR30932737,2024-09-19
SRR30932736,2024-09-19
SRR30932735,2024-09-19
SRR31016565,2024-09-19
SRR31016554,2024-09-26
SRR31016553,2024-09-26
SRR31016552,2024-09-26
