sample,date
SRR28752475,2024-03-20
SRR28752456,2024-03-20
SRR28752455,2024-03-21
SRR28752454,2024-03-20
SRR28752453,2024-03-13
SRR28752452,2024-03-13
SRR28752463,2024-03-20
SRR28752462,2024-03-20
SRR28752461,2024-03-20
SRR28752460,2024-03-20
SRR28752459,2024-03-20
SRR28752458,2024-03-20
SRR28752609,2024-03-20
SRR28752608,2024-03-20
SRR28752607,2024-03-20
SRR28752605,2024-03-14
SRR28752604,2024-03-14
SRR28752603,2024-03-14
SRR28752451,2024-03-20
SRR28752450,2024-03-20
SRR28752449,2024-03-20
SRR28752448,2024-03-20
SRR28752447,2024-03-20
SRR28752616,2024-03-20
SRR28752529,2024-04-03
SRR28752602,2024-03-14
SRR28752601,2024-03-14
SRR28752600,2024-03-14
SRR28752599,2024-03-14
SRR28752598,2024-03-14
SRR28752596,2024-03-14
SRR28752567,2024-03-25
SRR28752566,2024-03-25
SRR28752565,2024-03-25
SRR28752570,2024-03-21
SRR28752569,2024-03-21
SRR28752617,2024-04-05
SRR28752551,2024-04-05
SRR28752547,2024-04-05
SRR28752546,2024-04-05
SRR28752537,2024-04-05
SRR28752510,2024-03-13
SRR28752681,2024-03-13
SRR28752680,2024-03-13
SRR28752564,2024-03-25
SRR28752562,2024-03-25
SRR28752561,2024-03-25
SRR28752560,2024-03-25
SRR28752559,2024-03-25
SRR28752558,2024-03-25
SRR28752588,2024-03-14
SRR28752587,2024-03-14
SRR28752586,2024-03-14
SRR28752585,2024-03-14
SRR28752519,2024-03-14
SRR28752518,2024-03-14
SRR28752535,2024-04-02
SRR28752534,2024-03-20
SRR28752533,2024-03-20
SRR28752532,2024-03-20
SRR28752531,2024-03-28
SRR28752530,2024-03-20
SRR28752488,2024-04-01
SRR28752486,2024-04-01
SRR28752485,2024-04-01
SRR28752484,2024-04-01
SRR28752483,2024-04-01
SRR28752482,2024-04-01
SRR28752657,2024-03-25
SRR28752656,2024-03-25
SRR28752655,2024-03-25
SRR28752654,2024-03-25
SRR28752653,2024-03-25
SRR28752652,2024-03-25
SRR28752594,2024-03-14
SRR28752593,2024-03-14
SRR28752592,2024-03-14
SRR28752591,2024-03-14
SRR28752590,2024-03-14
SRR28752589,2024-03-14
SRR28752629,2024-04-01
SRR28752628,2024-04-01
SRR28752621,2024-04-05
SRR28752620,2024-04-05
SRR28752619,2024-04-05
SRR28752622,2024-03-14
SRR28752664,2024-03-21
SRR28752663,2024-03-25
SRR28752662,2024-03-25
SRR28752661,2024-03-25
SRR28752659,2024-03-25
SRR28752658,2024-03-25
SRR28752580,2024-03-27
SRR28752579,2024-03-27
SRR28752578,2024-03-27
SRR28752577,2024-03-21
SRR28752576,2024-03-21
SRR28752575,2024-03-21
SRR28752489,2024-04-01
SRR28752494,2024-03-10
SRR28752493,2024-03-10
SRR28752492,2024-03-10
SRR28752491,2024-03-10
SRR28752490,2024-03-10
SRR28752583,2024-03-27
SRR28752582,2024-03-27
SRR28752581,2024-03-27
SRR28752651,2024-03-25
SRR28752650,2024-03-25
SRR28752584,2024-03-25
SRR28752674,2024-03-16
SRR28752673,2024-03-16
SRR28752672,2024-03-16
SRR28752676,2024-03-19
SRR28752675,2024-03-19
SRR28752670,2024-03-21
SRR28752501,2024-03-29
SRR28752500,2024-03-29
SRR28752499,2024-03-29
SRR28752497,2024-03-29
SRR28752481,2024-04-01
SRR28752480,2024-04-01
SRR28752479,2024-04-01
SRR28752478,2024-03-29
SRR28752648,2024-03-29
SRR28752646,2024-03-29
