strain	date	data_source	genbank_accession	sra_accessions
A/cattle/Texas/MP09/2024	2024-04-04	genbank	PP914078	
A/cattle/Texas/USL_042/2024	2024-04-04	genbank	PP914086	
A/cattle/Texas/MP10/2024	2024-04-04	genbank	PP914102	
A/Cattle/Texas/24-009110-009-original/2024	2024-03-14	genbank	PQ010819	SRR28752597
A/Cattle/Idaho/24-009779-005-original/2024	2024-03-27	genbank	PQ010883	SRR28912857
A/Cattle/Texas/24-009810-001/2024	2024-03-15	genbank	PQ010891	SRR28912846
A/Cattle/Michigan/24-010071-020-original/2024	2024-04-01	genbank	PQ010899	SRR28912856
A/Cattle/Ohio/24-010202-014-original/2024	2024-04-03	genbank	PQ010915	SRR28912844
A/Cattle/Montana/24-010327-004/2024	2024-04-04	genbank	PQ010939	SRR28912841
A/Cattle/Idaho/24-011574-001-original/2024	2024-04-15	genbank	PQ010995	SRR28912822
A/Cattle/SouthDakota/24-011802-001-original/2024	2024-04-10	genbank	PQ011003	SRR28981037
A/Cattle/Colorado/24-012225-033-original/2024	2024-04-23	genbank	PQ011011	SRR28912810
A/Cattle/Idaho/24-012341-022-original/2024	2024-04-23	genbank	PQ011027	SRR28981008
A/Cattle/Colorado/24-012346-021-original/2024	2024-04-24	genbank	PQ011035	SRR28981001
A/Cattle/Idaho/24-013170-012-original/2024	2024-05-01	genbank	PQ011075	SRR29040284
A/Cattle/Idaho/24-014769-003-original/2024	2024-05-16	genbank	PQ011131	
A/Cattle/Colorado/24-014901-009-original/2024	2024-05-20	genbank	PQ011139	SRR29281448
A/Cattle/Colorado/24-012225-001-original/2024	2024-04-23	genbank	PQ011179	SRR28912816
A/Cattle/Colorado/24-012225-014-original/2024	2024-04-23	genbank	PQ011187	SRR28912815
A/Cattle/Colorado/24-012225-019-original/2024	2024-04-23	genbank	PQ011195	SRR28912814
A/Cattle/Colorado/24-012225-023-original/2024	2024-04-23	genbank	PQ011203	SRR28912813
A/Cattle/Colorado/24-012225-029-original/2024	2024-04-23	genbank	PQ011211	SRR28912811
A/Cattle/Colorado/24-012346-001-original/2024	2024-04-24	genbank	PQ011219	SRR28981007
A/Cattle/Colorado/24-012346-005-original/2024	2024-04-24	genbank	PQ011227	SRR28981006
A/Cattle/Colorado/24-012346-009-original/2024	2024-04-24	genbank	PQ011235	SRR28981004
A/Cattle/Colorado/24-012346-013-original/2024	2024-04-24	genbank	PQ011243	SRR28981003
A/Cattle/Colorado/24-012346-017-original/2024	2024-04-24	genbank	PQ011251	SRR28981002
A/Cattle/Colorado/24-014901-001-original/2024	2024-05-20	genbank	PQ011259	SRR29281455
A/Cattle/Colorado/24-014901-002-original/2024	2024-05-20	genbank	PQ011267	SRR29281454
A/Cattle/Colorado/24-014901-003-original/2024	2024-05-20	genbank	PQ011275	SRR29281453
A/Cattle/Colorado/24-014901-005-original/2024	2024-05-20	genbank	PQ011283	SRR29281452
A/Cattle/Colorado/24-014901-007-original/2024	2024-05-20	genbank	PQ011291	SRR29281451
A/Cattle/Colorado/24-014901-008-original/2024	2024-05-20	genbank	PQ011299	SRR29281450
A/Cattle/Idaho/24-011573-002-original-repeat/2024	2024-04-15	genbank	PQ011307	SRR28981038
A/Cattle/Idaho/24-011573-004-original/2024	2024-04-15	genbank	PQ011315	SRR28912778
A/Cattle/Idaho/24-011573-005-original-repeat/2024	2024-04-15	genbank	PQ011323	SRR28981027
A/Cattle/Idaho/24-011573-006-original-repeat/2024	2024-04-15	genbank	PQ011331	SRR28981016
A/Cattle/Idaho/24-011573-007-original/2024	2024-04-15	genbank	PQ011339	SRR28912777
A/Cattle/Idaho/24-011573-008-original-repeat/2024	2024-04-15	genbank	PQ011347	SRR28981005
A/Cattle/Idaho/24-011573-009-original-repeat/2024	2024-04-15	genbank	PQ011355	SRR28980994
A/Cattle/Idaho/24-011573-012-original-repeat/2024	2024-04-15	genbank	PQ011363	SRR28980987
A/Cattle/Idaho/24-011573-013-original/2024	2024-04-15	genbank	PQ011371	SRR28912826
A/Cattle/Idaho/24-011573-014-original/2024	2024-04-15	genbank	PQ011379	SRR28912825
A/Cattle/Idaho/24-011573-015-original-repeat/2024	2024-04-15	genbank	PQ011387	SRR28980986
A/Cattle/Idaho/24-011573-017-original-repeat/2024	2024-04-15	genbank	PQ011395	SRR28980985
A/Cattle/Idaho/24-011573-021-original/2024	2024-04-15	genbank	PQ011403	SRR28912824
A/Cattle/Idaho/24-012341-001-original/2024	2024-04-23	genbank	PQ011411	SRR28981023
A/Cattle/Idaho/24-012341-002-original/2024	2024-04-23	genbank	PQ011419	SRR29040298
A/Cattle/Idaho/24-012341-004-original/2024	2024-04-23	genbank	PQ011427	SRR28981022
A/Cattle/Idaho/24-012341-007-original/2024	2024-04-23	genbank	PQ011435	SRR28981021
A/Cattle/Idaho/24-012341-008-original/2024	2024-04-23	genbank	PQ011443	SRR28981020
A/Cattle/Idaho/24-012341-010-original/2024	2024-04-23	genbank	PQ011451	SRR28981019
A/Cattle/Idaho/24-012341-012-original/2024	2024-04-23	genbank	PQ011459	SRR28981018
A/Cattle/Idaho/24-012341-013-original/2024	2024-04-23	genbank	PQ011467	SRR28981017
A/Cattle/Idaho/24-012341-014-original/2024	2024-04-23	genbank	PQ011475	SRR28981015
A/Cattle/Idaho/24-012341-015-original/2024	2024-04-23	genbank	PQ011483	SRR28981014
A/Cattle/Idaho/24-012341-016-original/2024	2024-04-23	genbank	PQ011491	SRR28981013
A/Cattle/Idaho/24-012341-017-original/2024	2024-04-23	genbank	PQ011499	SRR28981012
A/Cattle/Idaho/24-012341-018-original/2024	2024-04-23	genbank	PQ011507	SRR28981011
A/Cattle/Idaho/24-012341-020-original/2024	2024-04-23	genbank	PQ011515	SRR28981010
A/Cattle/Idaho/24-012341-021-original/2024	2024-04-23	genbank	PQ011523	SRR28981009
A/Cattle/Idaho/24-013170-006-original/2024	2024-05-01	genbank	PQ011531	SRR29040287
A/Cattle/Idaho/24-013170-011-original/2024	2024-05-01	genbank	PQ011539	SRR29040285
A/Cattle/Idaho/24-014769-001-original/2024	2024-05-16	genbank	PQ011547	
A/Cattle/Idaho/24-014769-002-original/2024	2024-05-16	genbank	PQ011555	
A/Cattle/Michigan/24-010071-012-original/2024	2024-04-01	genbank	PQ011595	SRR28912835
A/Cattle/Michigan/24-010071-013-original/2024	2024-04-01	genbank	PQ011603	SRR28912806
A/Cattle/Michigan/24-010071-014-original/2024	2024-04-01	genbank	PQ011611	SRR28912795
A/Cattle/Michigan/24-010071-015-original/2024	2024-04-01	genbank	PQ011619	SRR28912784
A/Cattle/Michigan/24-010071-016-original/2024	2024-04-01	genbank	PQ011627	SRR28912823
A/Cattle/Michigan/24-010071-017-original/2024	2024-04-01	genbank	PQ011635	SRR28912812
A/Cattle/Michigan/24-010071-018-original/2024	2024-04-01	genbank	PQ011643	SRR28912809
A/Cattle/Michigan/24-010231-001-original/2024	2024-04-03	genbank	PQ011651	SRR28912843
A/Cattle/Michigan/24-010231-002-original/2024	2024-04-03	genbank	PQ011659	SRR28912842
A/Cattle/Ohio/24-010202-001-original/2024	2024-03-30	genbank	PQ011739	SRR28912855
A/Cattle/Ohio/24-010202-002-original/2024	2024-04-03	genbank	PQ011747	SRR28912854
A/Cattle/Ohio/24-010202-003-original/2024	2024-03-30	genbank	PQ011755	SRR28912853
A/Cattle/Ohio/24-010202-004-original/2024	2024-04-03	genbank	PQ011763	SRR28912852
A/Cattle/Ohio/24-010202-005-original/2024	2024-03-30	genbank	PQ011771	SRR28912851
A/Cattle/Ohio/24-010202-007-original/2024	2024-03-30	genbank	PQ011779	SRR28912850
A/Cattle/Ohio/24-010202-009-original/2024	2024-03-30	genbank	PQ011787	SRR28912849
A/Cattle/Ohio/24-010202-011-original/2024	2024-03-30	genbank	PQ011795	SRR28912848
A/Cattle/Ohio/24-010202-012-original/2024	2024-04-03	genbank	PQ011803	SRR28912847
A/Cattle/Ohio/24-010202-013-original/2024	2024-03-30	genbank	PQ011811	SRR28912845
A/Cattle/SouthDakota/24-010354-007-original/2024	2024-04-05	genbank	PQ011835	SRR28912840
A/cattle/ID/24-013710-001-original/2024	2024-05-07	genbank	PQ051346	
A/cattle/ID/24-013710-002-original/2024	2024-05-07	genbank	PQ051354	
A/cattle/ID/24-013710-003-original/2024	2024-05-07	genbank	PQ051362	
