strain	date	data_source	genbank_accession	sra_accessions
A/Bovine/texas/24-029328-01/2024	2024-03-20	genbank	PP599465	
A/bovine/texas/24-029328-02/2024	2024-03-20	genbank	PP599473	
A/cattle/Texas/56283/2024	2024-03-21	genbank	PP600143	
A/bovine/Ohio/B24OSU-UW11-863/2024	2024-04-05	genbank	PP737539	
A/bovine/Ohio/B24OSU-UW12-871/2024	2024-04-05	genbank	PP737547	
A/bovine/Ohio/B24OSU-UW13-869/2024	2024-04-05	genbank	PP737555	
A/cattle/Kansas/24-008767-001/2024	2024-03-20	genbank	PP752600	SRR28752475
A/cattle/Texas/24-009028-019/2024	2024-03-20	genbank	PP752653	SRR28752456
A/cattle/Texas/24-009029-001/2024	2024-03-21	genbank	PP752661	SRR28752455
A/cattle/Texas/24-009087-001/2024	2024-03-20	genbank	PP752669	SRR28752454
A/cattle/Texas/24-009088-001/2024	2024-03-13	genbank	PP752677	SRR28752453
A/cattle/Texas/24-009088-002/2024	2024-03-13	genbank	PP752685	SRR28752452
A/cattle/Texas/24-009028-002/2024	2024-03-20	genbank	PP752701	SRR28752463
A/cattle/Texas/24-009028-003/2024	2024-03-20	genbank	PP752709	SRR28752462
A/cattle/Texas/24-009028-005/2024	2024-03-20	genbank	PP752717	SRR28752461
A/cattle/Texas/24-009028-007/2024	2024-03-20	genbank	PP752725	SRR28752460
A/cattle/Texas/24-009028-008/2024	2024-03-20	genbank	PP752733	SRR28752459
A/cattle/Texas/24-009028-009/2024	2024-03-20	genbank	PP752741	SRR28752458
A/cattle/Texas/24-009109-006/2024	2024-03-20	genbank	PP752749	SRR28752609
A/cattle/Texas/24-009109-007/2024	2024-03-20	genbank	PP752757	SRR28752608
A/cattle/Texas/24-009109-008/2024	2024-03-20	genbank	PP752765	SRR28752607
A/cattle/Texas/24-009110-001/2024	2024-03-14	genbank	PP752773	SRR28752605
A/cattle/Texas/24-009110-002/2024	2024-03-14	genbank	PP752781	SRR28752604
A/cattle/Texas/24-009110-003/2024	2024-03-14	genbank	PP752789	SRR28752603
A/cattle/Texas/24-009108-001/2024	2024-03-20	genbank	PP752797	SRR28752451
A/cattle/Texas/24-009108-002/2024	2024-03-20	genbank	PP752805	SRR28752450
A/cattle/Texas/24-009108-003/2024	2024-03-20	genbank	PP752813	SRR28752449
A/cattle/Texas/24-009108-004/2024	2024-03-20	genbank	PP752821	SRR28752448
A/cattle/Texas/24-009108-005/2024	2024-03-20	genbank	PP752829	SRR28752447
A/cattle/Texas/24-009108-006/2024	2024-03-20	genbank	PP752837	SRR28752616
A/cattle/Texas/24-010514-002/2024	2024-04-03	genbank	PP752845	SRR28752529
A/cattle/Texas/24-009110-004/2024	2024-03-14	genbank	PP752853	SRR28752602
A/cattle/Texas/24-009110-005/2024	2024-03-14	genbank	PP752861	SRR28752601
A/cattle/Texas/24-009110-006/2024	2024-03-14	genbank	PP752869	SRR28752600
A/cattle/Texas/24-009110-007/2024	2024-03-14	genbank	PP752877	SRR28752599
A/cattle/Texas/24-009110-008/2024	2024-03-14	genbank	PP752885	SRR28752598
A/cattle/Texas/24-009110-010/2024	2024-03-14	genbank	PP752893	SRR28752596
A/cattle/Kansas/24-009497-003/2024	2024-03-25	genbank	PP752901	SRR28752567
A/cattle/Kansas/24-009497-004/2024	2024-03-25	genbank	PP752909	SRR28752566
A/cattle/Kansas/24-009497-005/2024	2024-03-25	genbank	PP752917	SRR28752565
A/cattle/Texas/24-009495-011/2024	2024-03-21	genbank	PP752925	SRR28752570
A/cattle/Texas/24-009495-012/2024	2024-03-21	genbank	PP752933	SRR28752569
A/cattle/SouthDakota/24-010354-005/2024	2024-04-05	genbank	PP752949	SRR28752617
A/cattle/SouthDakota/24-010354-008/2024	2024-04-05	genbank	PP752957	SRR28752551
A/cattle/SouthDakota/24-010354-011/2024	2024-04-05	genbank	PP752965	SRR28752547
A/cattle/SouthDakota/24-010354-012/2024	2024-04-05	genbank	PP752973	SRR28752546
A/cattle/SouthDakota/24-010354-020/2024	2024-04-05	genbank	PP752981	SRR28752537
A/cattle/Texas/24-009290-001/2024	2024-03-13	genbank	PP752997	SRR28752510
A/cattle/Texas/24-009290-005/2024	2024-03-13	genbank	PP753005	SRR28752681
A/cattle/Texas/24-009290-006/2024	2024-03-13	genbank	PP753013	SRR28752680
A/cattle/Kansas/24-009497-006/2024	2024-03-25	genbank	PP753045	SRR28752564
A/cattle/Kansas/24-009497-007/2024	2024-03-25	genbank	PP753053	SRR28752562
A/cattle/Kansas/24-009497-008/2024	2024-03-25	genbank	PP753061	SRR28752561
A/cattle/Kansas/24-009497-009/2024	2024-03-25	genbank	PP753069	SRR28752560
A/cattle/Kansas/24-009497-010/2024	2024-03-25	genbank	PP753077	SRR28752559
A/cattle/Kansas/24-009497-011/2024	2024-03-25	genbank	PP753085	SRR28752558
A/cattle/Texas/24-009110-018/2024	2024-03-14	genbank	PP753093	SRR28752588
A/cattle/Texas/24-009110-019/2024	2024-03-14	genbank	PP753101	SRR28752587
A/cattle/Texas/24-009110-020/2024	2024-03-14	genbank	PP753109	SRR28752586
A/cattle/Texas/24-009110-021/2024	2024-03-14	genbank	PP753117	SRR28752585
A/cattle/Texas/24-009110-022/2024	2024-03-14	genbank	PP753125	SRR28752519
A/cattle/Texas/24-009110-023/2024	2024-03-14	genbank	PP753133	SRR28752518
A/cattle/NewMexico/24-010512-001/2024	2024-04-02	genbank	PP753141	SRR28752535
A/cattle/Texas/24-010513-002/2024	2024-03-20	genbank	PP753149	SRR28752534
A/cattle/Texas/24-010513-003/2024	2024-03-20	genbank	PP753157	SRR28752533
A/cattle/Texas/24-010513-004/2024	2024-03-20	genbank	PP753165	SRR28752532
A/cattle/Texas/24-010513-006/2024	2024-03-28	genbank	PP753173	SRR28752531
A/cattle/Texas/24-010513-007/2024	2024-03-20	genbank	PP753181	SRR28752530
A/cattle/Michigan/24-010071-002/2024	2024-04-01	genbank	PP753189	SRR28752488
A/cattle/Michigan/24-010071-003/2024	2024-04-01	genbank	PP753197	SRR28752486
A/cattle/Michigan/24-010071-005/2024	2024-04-01	genbank	PP753205	SRR28752485
A/cattle/Michigan/24-010071-006/2024	2024-04-01	genbank	PP753213	SRR28752484
A/cattle/Michigan/24-010071-007/2024	2024-04-01	genbank	PP753221	SRR28752483
A/cattle/Michigan/24-010071-008/2024	2024-04-01	genbank	PP753229	SRR28752482
A/cattle/Texas/24-009367-009/2024	2024-03-25	genbank	PP753237	SRR28752657
A/cattle/Texas/24-009367-010/2024	2024-03-25	genbank	PP753245	SRR28752656
A/cattle/Texas/24-009367-011/2024	2024-03-25	genbank	PP753253	SRR28752655
A/cattle/Texas/24-009367-012/2024	2024-03-25	genbank	PP753261	SRR28752654
A/cattle/Texas/24-009367-013/2024	2024-03-25	genbank	PP753269	SRR28752653
A/cattle/Texas/24-009367-014/2024	2024-03-25	genbank	PP753277	SRR28752652
A/cattle/Texas/24-009110-011/2024	2024-03-14	genbank	PP753285	SRR28752594
A/cattle/Texas/24-009110-012/2024	2024-03-14	genbank	PP753293	SRR28752593
A/cattle/Texas/24-009110-014/2024	2024-03-14	genbank	PP753301	SRR28752592
A/cattle/Texas/24-009110-015/2024	2024-03-14	genbank	PP753309	SRR28752591
A/cattle/Texas/24-009110-016/2024	2024-03-14	genbank	PP753317	SRR28752590
A/cattle/Texas/24-009110-017/2024	2024-03-14	genbank	PP753325	SRR28752589
A/cattle/NewMexico/24-010330-007/2024	2024-04-01	genbank	PP753333	SRR28752629
A/cattle/NewMexico/24-010330-008/2024	2024-04-01	genbank	PP753341	SRR28752628
A/cattle/SouthDakota/24-010354-001/2024	2024-04-05	genbank	PP753349	SRR28752621
A/cattle/SouthDakota/24-010354-002/2024	2024-04-05	genbank	PP753357	SRR28752620
A/cattle/SouthDakota/24-010354-003/2024	2024-04-05	genbank	PP753365	SRR28752619
A/cattle/Texas/24-010331-001/2024	2024-03-14	genbank	PP753373	SRR28752622
A/cattle/Texas/24-009367-001/2024	2024-03-21	genbank	PP753381	SRR28752664
A/cattle/Texas/24-009367-002/2024	2024-03-25	genbank	PP753389	SRR28752663
A/cattle/Texas/24-009367-003/2024	2024-03-25	genbank	PP753397	SRR28752662
A/cattle/Texas/24-009367-004/2024	2024-03-25	genbank	PP753405	SRR28752661
A/cattle/Texas/24-009367-005/2024	2024-03-25	genbank	PP753413	SRR28752659
A/cattle/Texas/24-009367-007/2024	2024-03-25	genbank	PP753421	SRR28752658
A/cattle/Idaho/24-009491-005/2024	2024-03-27	genbank	PP753429	SRR28752580
A/cattle/Idaho/24-009491-006/2024	2024-03-27	genbank	PP753437	SRR28752579
A/cattle/Idaho/24-009491-007/2024	2024-03-27	genbank	PP753445	SRR28752578
A/cattle/Texas/24-009495-001/2024	2024-03-21	genbank	PP753453	SRR28752577
A/cattle/Texas/24-009495-002/2024	2024-03-21	genbank	PP753461	SRR28752576
A/cattle/Texas/24-009495-003/2024	2024-03-21	genbank	PP753469	SRR28752575
A/cattle/Michigan/24-010071-001/2024	2024-04-01	genbank	PP753477	SRR28752489
A/cattle/Texas/24-009775-001/2024	2024-03-10	genbank	PP753485	SRR28752494
A/cattle/Texas/24-009776-001/2024	2024-03-10	genbank	PP753493	SRR28752493
A/cattle/Texas/24-009776-002/2024	2024-03-10	genbank	PP753501	SRR28752492
A/cattle/Texas/24-009776-004/2024	2024-03-10	genbank	PP753509	SRR28752491
A/cattle/Texas/24-009776-015/2024	2024-03-10	genbank	PP753517	SRR28752490
A/cattle/Idaho/24-009491-001/2024	2024-03-27	genbank	PP753525	SRR28752583
A/cattle/Idaho/24-009491-002/2024	2024-03-27	genbank	PP753533	SRR28752582
A/cattle/Idaho/24-009491-003/2024	2024-03-27	genbank	PP753541	SRR28752581
A/cattle/Texas/24-009367-016/2024	2024-03-25	genbank	PP753549	SRR28752651
A/cattle/Texas/24-009367-018/2024	2024-03-25	genbank	PP753557	SRR28752650
A/cattle/Texas/24-009367-023/2024	2024-03-25	genbank	PP753565	SRR28752584
A/cattle/NewMexico/24-009309-001/2024	2024-03-16	genbank	PP753573	SRR28752674
A/cattle/NewMexico/24-009309-002/2024	2024-03-16	genbank	PP753581	SRR28752673
A/cattle/NewMexico/24-009309-004/2024	2024-03-16	genbank	PP753589	SRR28752672
A/cattle/Texas/24-009308-006/2024	2024-03-19	genbank	PP753597	SRR28752676
A/cattle/Texas/24-009308-008/2024	2024-03-19	genbank	PP753605	SRR28752675
A/cattle/Texas/24-009310-005/2024	2024-03-21	genbank	PP753613	SRR28752670
A/cattle/Ohio/24-009586-007/2024	2024-03-29	genbank	PP753621	SRR28752501
A/cattle/Ohio/24-009586-008/2024	2024-03-29	genbank	PP753629	SRR28752500
A/cattle/Ohio/24-009586-009/2024	2024-03-29	genbank	PP753637	SRR28752499
A/cattle/Ohio/24-009586-010/2024	2024-03-29	genbank	PP753645	SRR28752497
A/cattle/Michigan/24-010071-009/2024	2024-04-01	genbank	PP753669	SRR28752481
A/cattle/Michigan/24-010071-010/2024	2024-04-01	genbank	PP753677	SRR28752480
A/cattle/NewMexico/24-010192-006/2024	2024-04-01	genbank	PP753685	SRR28752479
A/cattle/NewMexico/24-010193-003/2024	2024-03-29	genbank	PP753693	SRR28752478
A/cattle/NewMexico/24-010193-006/2024	2024-03-29	genbank	PP753701	SRR28752648
A/cattle/NewMexico/24-010193-007/2024	2024-03-29	genbank	PP753709	SRR28752646
A/cattle/Ohio/24-009586-001/2024	2024-03-29	genbank	PP753717	SRR28752506
A/cattle/Ohio/24-009586-002/2024	2024-03-29	genbank	PP753725	SRR28752505
A/cattle/Ohio/24-009586-003/2024	2024-03-29	genbank	PP753733	SRR28752504
A/cattle/Ohio/24-009586-005/2024	2024-03-29	genbank	PP753741	SRR28752503
A/cattle/Ohio/24-009586-006/2024	2024-03-29	genbank	PP753749	SRR28752502
A/cattle/Texas/24-008749-002/2024	2024-03-20	genbank	PP755581	SRR28752647
A/cattle/Texas/24-008749-003/2024	2024-03-20	genbank	PP755589	SRR28752635
A/cattle/Texas/24-008749-004/2024	2024-03-20	genbank	PP755597	SRR28752624
A/cattle/Texas/24-008749-005/2024	2024-03-20	genbank	PP755605	SRR28752538
A/cattle/Texas/24-008749-007/2024	2024-03-20	genbank	PP755613	SRR28752526
A/cattle/Texas/24-008749-008/2024	2024-03-20	genbank	PP755621	SRR28752525
A/cattle/Texas/24-008660-001/2024	2024-03-20	genbank	PP755653	SRR28752509
A/cattle/Texas/24-008660-002/2024	2024-03-20	genbank	PP755661	SRR28752498
A/cattle/Texas/24-008749-001/2024	2024-03-20	genbank	PP755669	SRR28752487
A/cattle/Michigan/24-009027-001/2024	2024-03-24	genbank	PP755677	SRR28752472
A/cattle/Michigan/24-009027-003/2024	2024-03-24	genbank	PP755685	SRR28752469
A/cattle/Michigan/24-009027-004/2024	2024-03-24	genbank	PP755693	SRR28752467
A/cattle/Michigan/24-009027-005/2024	2024-03-24	genbank	PP755701	SRR28752466
A/cattle/Michigan/24-009027-010/2024	2024-03-24	genbank	PP755709	SRR28752465
A/cattle/Texas/24-009495-007/2024	2024-03-21	genbank	PP755725	
A/cattle/Texas/24-009495-004/2024	2024-03-21	genbank	PP755733	
A/cattle/Texas/24-009495-005/2024	2024-03-21	genbank	PP755741	
A/cattle/Texas/24-009495-008/2024	2024-03-21	genbank	PP755749	SRR28752573
A/cattle/Texas/24-009495-009/2024	2024-03-21	genbank	PP755757	SRR28752572
A/cattle/Texas/24-009495-010/2024	2024-03-21	genbank	PP755765	SRR28752571
A/cattle/Kansas/24-009497-012/2024	2024-03-25	genbank	PP755773	SRR28752557
A/cattle/Kansas/24-009497-014/2024	2024-03-25	genbank	PP755781	SRR28752556
A/cattle/Texas/24-009499-001/2024	2024-03-17	genbank	PP755789	SRR28752555
A/cattle/Texas/24-009499-002/2024	2024-03-17	genbank	PP755797	
A/cattle/Texas/24-009110-024/2024	2024-03-14	genbank	PP755821	SRR28752517
A/cattle/Texas/24-009110-025/2024	2024-03-14	genbank	PP755829	SRR28752516
A/cattle/Texas/24-009110-026/2024	2024-03-14	genbank	PP755837	SRR28752515
A/cattle/Texas/24-009110-027/2024	2024-03-14	genbank	PP755845	SRR28752514
A/cattle/Texas/24-009108-007/2024	2024-03-20	genbank	PP755869	SRR28752615
A/cattle/Texas/24-009109-001/2024	2024-03-20	genbank	PP755877	SRR28752614
A/cattle/Texas/24-009109-002/2024	2024-03-20	genbank	PP755885	SRR28752613
A/cattle/Texas/24-009109-003/2024	2024-03-20	genbank	PP755893	SRR28752612
A/cattle/Texas/24-009109-004/2024	2024-03-20	genbank	PP755901	SRR28752611
A/cattle/Texas/24-009109-005/2024	2024-03-20	genbank	PP755909	SRR28752610
A/cattle/Texas/24-009308-001/2024	2024-03-19	genbank	PP755917	
A/cattle/NewMexico/24-009306-003/2024	2024-03-25	genbank	PP755925	SRR28752679
A/cattle/NewMexico/24-009306-004/2024	2024-03-25	genbank	PP755933	SRR28752678
A/cattle/Texas/24-009308-002/2024	2024-03-19	genbank	PP755941	
A/cattle/Texas/24-009308-003/2024	2024-03-19	genbank	PP755949	
A/cattle/Texas/24-009308-004/2024	2024-03-19	genbank	PP755957	SRR28752677
A/cattle/Texas/24-009310-006/2024	2024-03-21	genbank	PP755965	SRR28752669
A/cattle/Texas/24-009310-007/2024	2024-03-21	genbank	PP755973	SRR28752668
A/cattle/Texas/24-009310-009/2024	2024-03-21	genbank	PP755981	
A/cattle/Texas/24-009310-010/2024	2024-03-21	genbank	PP755989	SRR28752667
A/cattle/Michigan/24-010303-001/2024	2024-04-03	genbank	PP756013	SRR28752643
A/cattle/Michigan/24-010303-002/2024	2024-04-03	genbank	PP756021	SRR28752642
A/cattle/NewMexico/24-010194-001/2024	2024-03-15	genbank	PP756029	SRR28752645
A/cattle/NewMexico/24-010195-001/2024	2024-03-15	genbank	PP756037	SRR28752644
A/cattle/NewMexico/24-010195-004/2024	2024-03-15	genbank	PP756045	SRR28834852
A/cattle/NorthCarolina/24-010327-002/2024	2024-04-04	genbank	PP756061	SRR28834851
A/cattle/NewMexico/24-010330-003/2024	2024-04-01	genbank	PP756069	SRR28752633
A/cattle/NewMexico/24-010330-005/2024	2024-04-01	genbank	PP756077	SRR28752631
A/cattle/NorthCarolina/24-010327-003/2024	2024-04-04	genbank	PP756085	SRR28752637
A/cattle/Texas/24-008749-006-original/2024	2024-03-20	genbank	PP799237	
A/cattle/SouthDakota/24-010354-015-300/2024	2024-04-05	genbank	PP799255	SRR28752543
A/cattle/SouthDakota/24-010354-016-300/2024	2024-04-05	genbank	PP799263	SRR28752542
A/cattle/SouthDakota/24-010354-017-300/2024	2024-04-05	genbank	PP799271	SRR28752541
A/cattle/SouthDakota/24-010354-018-300/2024	2024-04-05	genbank	PP799279	SRR28752540
A/cattle/SouthDakota/24-010354-019-300/2024	2024-04-05	genbank	PP799287	SRR28752539
A/cattle/SouthDakota/24-010354-004-300/2024	2024-04-05	genbank	PP799539	SRR28752618
A/cattle/SouthDakota/24-010354-006-300/2024	2024-04-05	genbank	PP799547	SRR28752552
A/cattle/SouthDakota/24-010354-009-300/2024	2024-04-05	genbank	PP799555	SRR28752550
A/cattle/SouthDakota/24-010354-010-300/2024	2024-04-05	genbank	PP799563	SRR28752548
A/cattle/SouthDakota/24-010354-013-300/2024	2024-04-05	genbank	PP799571	SRR28752545
A/cattle/SouthDakota/24-010354-014-300/2024	2024-04-05	genbank	PP799579	SRR28752544
A/cattle/NewMexico/24-010330-004-300/2024	2024-04-01	genbank	PP799693	SRR28752632
A/cattle/NewMexico/24-010330-006-300/2024	2024-04-01	genbank	PP799701	SRR28752630
A/cattle/NewMexico/24-010330-009-300/2024	2024-04-01	genbank	PP799709	SRR28752627
A/cattle/NewMexico/24-010330-011-300/2024	2024-04-01	genbank	PP799717	SRR28752626
A/cattle/NewMexico/24-010330-012-300/2024	2024-04-01	genbank	PP799725	SRR28752625
A/cattle/NewMexico/24-010330-013-300/2024	2024-04-01	genbank	PP799733	SRR28752623
A/cattle/Michigan/24-009027-002/2024	2024-03-24	genbank	PP824612	
A/cattle/Kansas/24-008766-001/2024	2024-03-21	genbank	PP824620	
A/bovine/Ohio/B24OSU-302/2024	2024-04-05	genbank	PP836399	
A/bovine/Ohio/B24OSU-332/2024	2024-04-05	genbank	PP836407	
A/bovine/Ohio/B24OSU-342/2024	2024-04-05	genbank	PP836415	
A/bovine/Ohio/B24OSU-351/2024	2024-04-05	genbank	PP836423	
A/bovine/Ohio/B24OSU-358/2024	2024-04-05	genbank	PP836431	
A/bovine/Ohio/B24OSU-378/2024	2024-04-05	genbank	PP836439	
A/bovine/Ohio/B24OSU-388/2024	2024-04-05	genbank	PP836447	
A/bovine/Ohio/B24OSU-413/2024	2024-04-05	genbank	PP836455	
A/bovine/Ohio/B24OSU-432/2024	2024-04-05	genbank	PP836463	
A/bovine/Ohio/B24OSU-439/2024	2024-04-05	genbank	PP836471	
A/bovine/Ohio/B24OSU-446/2024	2024-04-05	genbank	PP836479	
A/bovine/Ohio/B24OSU-467/2024	2024-04-05	genbank	PP836487	
A/bovine/Ohio/B24OSU-472/2024	2024-04-05	genbank	PP836495	
A/bovine/Ohio/B24OSU-486/2024	2024-04-05	genbank	PP836503	
A/bovine/Ohio/B24OSU-494/2024	2024-04-05	genbank	PP836511	
A/bovine/Ohio/B24OSU-497/2024	2024-04-05	genbank	PP836519	
